==9862== NVPROF is profiling process 9862, command: python3 -m sockeye.train --source /home/armageddonknight/Workspace/EcoRNN/EcoNMT/benchmarks/sockeye/workspace/data/iwslt15-vi_en/train-preproc.vi --target /home/armageddonknight/Workspace/EcoRNN/EcoNMT/benchmarks/sockeye/workspace/data/iwslt15-vi_en/train
==9862== Profiling application: python3 -m sockeye.train --source /home/armageddonknight/Workspace/EcoRNN/EcoNMT/benchmarks/sockeye/workspace/data/iwslt15-vi_en/train-preproc.vi --target /home/armageddonknight/Workspace/EcoRNN/EcoNMT/benchmarks/sockeye/workspace/data/iwslt15-vi_en/train
==9862== Profiling result:
==9862== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"TITAN Xp (0)","void mshadow::cuda::MapPlanKernel<mshadow::sv::saveto, int=8, mshadow::expr::Plan<mshadow::Tensor<mshadow::gpu, int=2, float>, float>, mshadow::expr::Plan<mshadow::expr::BinaryMapExp<mshadow::op::plus, mshadow::expr::BinaryMapExp<mshadow::op::mul, mshadow::expr::ScalarExp<float>, mshadow::Tensor<mshadow::gpu, int=2, float>, float, int=1>, mshadow::expr::BinaryMapExp<mshadow::op::mul, mshadow::expr::ScalarExp<float>, mshadow::expr::UnaryMapExp<mxnet::op::mshadow_op::square, mshadow::expr::BinaryMapExp<mxnet::op::mshadow_op::clip, mshadow::Tensor<mshadow::gpu, int=2, float>, mshadow::expr::ScalarExp<float>, float, int=1>, float, int=1>, float, int=1>, float, int=1>, float>>(mshadow::gpu, unsigned int, mshadow::Shape<int=2>, int=2)",7,"dram_read_transactions","Device Memory Read Transactions",417,2150350,665254
"TITAN Xp (0)","void mshadow::cuda::MapPlanKernel<mshadow::sv::saveto, int=8, mshadow::expr::Plan<mshadow::Tensor<mshadow::gpu, int=2, float>, float>, mshadow::expr::Plan<mshadow::expr::BinaryMapExp<mshadow::op::plus, mshadow::expr::BinaryMapExp<mshadow::op::mul, mshadow::expr::ScalarExp<float>, mshadow::Tensor<mshadow::gpu, int=2, float>, float, int=1>, mshadow::expr::BinaryMapExp<mshadow::op::mul, mshadow::expr::ScalarExp<float>, mshadow::expr::UnaryMapExp<mxnet::op::mshadow_op::square, mshadow::expr::BinaryMapExp<mxnet::op::mshadow_op::clip, mshadow::Tensor<mshadow::gpu, int=2, float>, mshadow::expr::ScalarExp<float>, float, int=1>, float, int=1>, float, int=1>, float, int=1>, float>>(mshadow::gpu, unsigned int, mshadow::Shape<int=2>, int=2)",7,"dram_write_transactions","Device Memory Write Transactions",33,1073974,331791
"TITAN Xp (0)","void mxnet::op::broadcast::reduce_kernel<mshadow::red::sum, int=2, float, mshadow::op::identity, int=2>(int, int, bool, float const *, mxnet::op::broadcast::reduce_kernel<mshadow::red::sum, int=2, float, mshadow::op::identity, int=2>*, mshadow::Shape<int=2>, mshadow::Shape, mshadow::Shape, mshadow::Shape, int, bool)",36,"dram_read_transactions","Device Memory Read Transactions",0,12054,2193
"TITAN Xp (0)","void mxnet::op::broadcast::reduce_kernel<mshadow::red::sum, int=2, float, mshadow::op::identity, int=2>(int, int, bool, float const *, mxnet::op::broadcast::reduce_kernel<mshadow::red::sum, int=2, float, mshadow::op::identity, int=2>*, mshadow::Shape<int=2>, mshadow::Shape, mshadow::Shape, mshadow::Shape, int, bool)",36,"dram_write_transactions","Device Memory Write Transactions",48,10348,4874
"TITAN Xp (0)","void gemmk1_kernel<float, int=256, int=5, bool=0, bool=0, bool=0, bool=0>(cublasGemmk1Params<float>, float const *, float const *, float*)",18,"dram_read_transactions","Device Memory Read Transactions",144,8396,846
"TITAN Xp (0)","void gemmk1_kernel<float, int=256, int=5, bool=0, bool=0, bool=0, bool=0>(cublasGemmk1Params<float>, float const *, float const *, float*)",18,"dram_write_transactions","Device Memory Write Transactions",94517,100026,95946
"TITAN Xp (0)","_ZN5mxnet2op8mxnet_op20mxnet_generic_kernelINS1_11op_with_reqINS0_10mshadow_op3logELi1EEEJPfS7_EEEviDpT0_",1,"dram_read_transactions","Device Memory Read Transactions",60,60,60
"TITAN Xp (0)","_ZN5mxnet2op8mxnet_op20mxnet_generic_kernelINS1_11op_with_reqINS0_10mshadow_op3logELi1EEEJPfS7_EEEviDpT0_",1,"dram_write_transactions","Device Memory Write Transactions",7,7,7
"TITAN Xp (0)","maxwell_sgemm_128x64_nt",19,"dram_read_transactions","Device Memory Read Transactions",19354,514880,132987
"TITAN Xp (0)","maxwell_sgemm_128x64_nt",19,"dram_write_transactions","Device Memory Write Transactions",77205,176514,84705
"TITAN Xp (0)","_ZN5mxnet2op8mxnet_op20mxnet_generic_kernelINS0_4pickILi2EEEJPfS5_PiiiN7mshadow5ShapeILi2EEES9_EEEviDpT0_",1,"dram_read_transactions","Device Memory Read Transactions",2110,2110,2110
"TITAN Xp (0)","_ZN5mxnet2op8mxnet_op20mxnet_generic_kernelINS0_4pickILi2EEEJPfS5_PiiiN7mshadow5ShapeILi2EEES9_EEEviDpT0_",1,"dram_write_transactions","Device Memory Write Transactions",512,512,512
"TITAN Xp (0)","void cudnn::detail::activation_fw_4d_kernel<float, float, int=128, int=1, int=4, cudnn::detail::tanh_func<float>>(cudnnTensorStruct, float const *, cudnn::detail::activation_fw_4d_kernel<float, float, int=128, int=1, int=4, cudnn::detail::tanh_func<float>>, cudnnTensorStruct*, float, cudnnTensorStruct*, int, cudnnTensorStruct*)",18,"dram_read_transactions","Device Memory Read Transactions",215,10471,990
"TITAN Xp (0)","void cudnn::detail::activation_fw_4d_kernel<float, float, int=128, int=1, int=4, cudnn::detail::tanh_func<float>>(cudnnTensorStruct, float const *, cudnn::detail::activation_fw_4d_kernel<float, float, int=128, int=1, int=4, cudnn::detail::tanh_func<float>>, cudnnTensorStruct*, float, cudnnTensorStruct*, int, cudnnTensorStruct*)",18,"dram_write_transactions","Device Memory Write Transactions",3464,9448,8494
"TITAN Xp (0)","_ZN5mxnet2op8mxnet_op20mxnet_generic_kernelINS0_10tcast_clipEJPiPfiEEEviDpT0_",2,"dram_read_transactions","Device Memory Read Transactions",240,248,244
"TITAN Xp (0)","_ZN5mxnet2op8mxnet_op20mxnet_generic_kernelINS0_10tcast_clipEJPiPfiEEEviDpT0_",2,"dram_write_transactions","Device Memory Write Transactions",8,17,12
"TITAN Xp (0)","void mxnet::op::_cuda_par_reverse_sequence<float>(float const *, mxnet::op::_cuda_par_reverse_sequence<float>*, float const , mxnet::OpReqType)",4,"dram_read_transactions","Device Memory Read Transactions",100070,100982,100519
"TITAN Xp (0)","void mxnet::op::_cuda_par_reverse_sequence<float>(float const *, mxnet::op::_cuda_par_reverse_sequence<float>*, float const , mxnet::OpReqType)",4,"dram_write_transactions","Device Memory Write Transactions",98906,100728,100193
"TITAN Xp (0)","_ZN5mxnet2op8mxnet_op20mxnet_generic_kernelINS1_11op_with_reqINS0_10mshadow_op7maximumELi1EEEJPfS7_fEEEviDpT0_",1,"dram_read_transactions","Device Memory Read Transactions",40,40,40
"TITAN Xp (0)","_ZN5mxnet2op8mxnet_op20mxnet_generic_kernelINS1_11op_with_reqINS0_10mshadow_op7maximumELi1EEEJPfS7_fEEEviDpT0_",1,"dram_write_transactions","Device Memory Write Transactions",24,24,24
"TITAN Xp (0)","_ZN5mxnet2op8mxnet_op20mxnet_generic_kernelINS0_3SumEJPfNS_9OpReqTypeES4_S4_S4_EEEviDpT0_",35,"dram_read_transactions","Device Memory Read Transactions",40,30471,12320
"TITAN Xp (0)","_ZN5mxnet2op8mxnet_op20mxnet_generic_kernelINS0_3SumEJPfNS_9OpReqTypeES4_S4_S4_EEEviDpT0_",35,"dram_write_transactions","Device Memory Write Transactions",0,6356,1630
"TITAN Xp (0)","void mshadow::cuda::MapPlanKernel<mshadow::sv::plusto, int=8, mshadow::expr::Plan<mshadow::Tensor<mshadow::gpu, int=2, float>, float>, mshadow::expr::Plan<mshadow::expr::Broadcast1DExp<mshadow::Tensor<mshadow::gpu, int=1, float>, float, int=2, int=1>, float>>(mshadow::gpu, unsigned int, mshadow::Shape<int=2>, int=2)",134,"dram_read_transactions","Device Memory Read Transactions",172,41337,3343
"TITAN Xp (0)","void mshadow::cuda::MapPlanKernel<mshadow::sv::plusto, int=8, mshadow::expr::Plan<mshadow::Tensor<mshadow::gpu, int=2, float>, float>, mshadow::expr::Plan<mshadow::expr::Broadcast1DExp<mshadow::Tensor<mshadow::gpu, int=1, float>, float, int=2, int=1>, float>>(mshadow::gpu, unsigned int, mshadow::Shape<int=2>, int=2)",134,"dram_write_transactions","Device Memory Write Transactions",0,34545,2091
"TITAN Xp (0)","void mshadow::cuda::MapPlanKernel<mshadow::sv::divto, int=8, mshadow::expr::Plan<mshadow::Tensor<mshadow::gpu, int=1, float>, float>, mshadow::expr::Plan<mshadow::expr::ScalarExp<float>, float>>(mshadow::gpu, unsigned int, mshadow::Shape<int=2>, int=1)",36,"dram_read_transactions","Device Memory Read Transactions",0,10264,1125
"TITAN Xp (0)","void mshadow::cuda::MapPlanKernel<mshadow::sv::divto, int=8, mshadow::expr::Plan<mshadow::Tensor<mshadow::gpu, int=1, float>, float>, mshadow::expr::Plan<mshadow::expr::ScalarExp<float>, float>>(mshadow::gpu, unsigned int, mshadow::Shape<int=2>, int=1)",36,"dram_write_transactions","Device Memory Write Transactions",0,4037,341
"TITAN Xp (0)","void mshadow::cuda::SoftmaxGradKernel<int=8, float, mshadow::expr::Plan<mshadow::Tensor<mshadow::gpu, int=2, float>, float>, mshadow::expr::Plan<mshadow::Tensor<mshadow::gpu, int=2, float>, float>, mshadow::expr::Plan<mshadow::Tensor<mshadow::gpu, int=1, float>, float>>(mshadow::gpu, int=2, float, unsigned int, float)",1,"dram_read_transactions","Device Memory Read Transactions",2291686,2291686,2291686
"TITAN Xp (0)","void mshadow::cuda::SoftmaxGradKernel<int=8, float, mshadow::expr::Plan<mshadow::Tensor<mshadow::gpu, int=2, float>, float>, mshadow::expr::Plan<mshadow::Tensor<mshadow::gpu, int=2, float>, float>, mshadow::expr::Plan<mshadow::Tensor<mshadow::gpu, int=1, float>, float>>(mshadow::gpu, int=2, float, unsigned int, float)",1,"dram_write_transactions","Device Memory Write Transactions",3095371,3095371,3095371
"TITAN Xp (0)","_ZN5mxnet2op8mxnet_op20mxnet_generic_kernelINS1_11op_with_reqIN7mshadow2op4plusELi1EEEJPfS8_S8_EEEviDpT0_",1,"dram_read_transactions","Device Memory Read Transactions",40,40,40
"TITAN Xp (0)","_ZN5mxnet2op8mxnet_op20mxnet_generic_kernelINS1_11op_with_reqIN7mshadow2op4plusELi1EEEJPfS8_S8_EEEviDpT0_",1,"dram_write_transactions","Device Memory Write Transactions",8,8,8
"TITAN Xp (0)","_ZN5mxnet2op8mxnet_op20mxnet_generic_kernelINS1_11op_with_reqINS0_10mshadow_op22reciprocal_square_rootELi1EEEJPfS7_EEEviDpT0_",18,"dram_read_transactions","Device Memory Read Transactions",40,704,208
"TITAN Xp (0)","_ZN5mxnet2op8mxnet_op20mxnet_generic_kernelINS1_11op_with_reqINS0_10mshadow_op22reciprocal_square_rootELi1EEEJPfS7_EEEviDpT0_",18,"dram_write_transactions","Device Memory Write Transactions",0,20,4
"TITAN Xp (0)","void mshadow::cuda::MapPlanKernel<mshadow::sv::saveto, int=8, mshadow::expr::Plan<mshadow::Tensor<mshadow::gpu, int=2, float>, float>, mshadow::expr::Plan<mshadow::expr::TypecastExp<float, float, mshadow::expr::BinaryMapExp<mshadow::op::mul, mshadow::expr::BinaryMapExp<mxnet::op::mshadow_op::threshold, mshadow::expr::MakeTensorExp<mshadow::expr::ReshapeExp<mshadow::Tensor<mshadow::gpu, int=1, float>, float, int=2, int=1>, mshadow::Tensor<mshadow::gpu, int=1, float>, int=2, float>, mshadow::expr::ScalarExp<float>, float, int=3>, mshadow::expr::ScalarExp<float>, float, int=3>, int=3>, float>>(mshadow::gpu, unsigned int, mshadow::Shape<int=2>, int=2)",20,"dram_read_transactions","Device Memory Read Transactions",40,98930,13745
"TITAN Xp (0)","void mshadow::cuda::MapPlanKernel<mshadow::sv::saveto, int=8, mshadow::expr::Plan<mshadow::Tensor<mshadow::gpu, int=2, float>, float>, mshadow::expr::Plan<mshadow::expr::TypecastExp<float, float, mshadow::expr::BinaryMapExp<mshadow::op::mul, mshadow::expr::BinaryMapExp<mxnet::op::mshadow_op::threshold, mshadow::expr::MakeTensorExp<mshadow::expr::ReshapeExp<mshadow::Tensor<mshadow::gpu, int=1, float>, float, int=2, int=1>, mshadow::Tensor<mshadow::gpu, int=1, float>, int=2, float>, mshadow::expr::ScalarExp<float>, float, int=3>, mshadow::expr::ScalarExp<float>, float, int=3>, int=3>, float>>(mshadow::gpu, unsigned int, mshadow::Shape<int=2>, int=2)",20,"dram_write_transactions","Device Memory Write Transactions",10845,101915,22484
"TITAN Xp (0)","void mxnet::op::_cuda_fused_lstm_nonlin_block__forward<float>(float const *, float const , float const , mxnet::op::_cuda_fused_lstm_nonlin_block__forward<float>*, float const *, float const *, unsigned int, unsigned int)",58,"dram_read_transactions","Device Memory Read Transactions",20592,90263,36680
"TITAN Xp (0)","void mxnet::op::_cuda_fused_lstm_nonlin_block__forward<float>(float const *, float const , float const , mxnet::op::_cuda_fused_lstm_nonlin_block__forward<float>*, float const *, float const *, unsigned int, unsigned int)",58,"dram_write_transactions","Device Memory Write Transactions",5497,58414,23218
"TITAN Xp (0)","void mxnet::op::_cuda_fused_mlp_att_scoring_func_backward<float>(float const *, mxnet::op::_cuda_fused_mlp_att_scoring_func_backward<float>*, float const , float const *, float const , float const , float const , float const , bool)",18,"dram_read_transactions","Device Memory Read Transactions",513634,613846,521643
"TITAN Xp (0)","void mxnet::op::_cuda_fused_mlp_att_scoring_func_backward<float>(float const *, mxnet::op::_cuda_fused_mlp_att_scoring_func_backward<float>*, float const , float const *, float const , float const , float const , float const , bool)",18,"dram_write_transactions","Device Memory Write Transactions",121794,129814,123062
"TITAN Xp (0)","_ZN5mxnet2op8mxnet_op20mxnet_generic_kernelINS0_4TakeEJPfS4_S4_jjEEEviDpT0_",2,"dram_read_transactions","Device Memory Read Transactions",27798,33932,30865
"TITAN Xp (0)","_ZN5mxnet2op8mxnet_op20mxnet_generic_kernelINS0_4TakeEJPfS4_S4_jjEEEviDpT0_",2,"dram_write_transactions","Device Memory Write Transactions",79843,94917,87380
"TITAN Xp (0)","_ZN5mxnet2op8mxnet_op20mxnet_generic_kernelINS1_11op_with_reqINS0_9unary_bwdINS0_10mshadow_op27reciprocal_square_root_gradEEELi1EEEJPfS9_S9_EEEviDpT0_",18,"dram_read_transactions","Device Memory Read Transactions",58,746,213
"TITAN Xp (0)","_ZN5mxnet2op8mxnet_op20mxnet_generic_kernelINS1_11op_with_reqINS0_9unary_bwdINS0_10mshadow_op27reciprocal_square_root_gradEEELi1EEEJPfS9_S9_EEEviDpT0_",18,"dram_write_transactions","Device Memory Write Transactions",0,14,1
"TITAN Xp (0)","void mshadow::cuda::MapPlanKernel<mshadow::sv::saveto, int=8, mshadow::expr::Plan<mshadow::Tensor<mshadow::gpu, int=1, int>, int>, mshadow::expr::Plan<mshadow::expr::RangeExp<int>, int>>(mshadow::gpu, unsigned int, mshadow::Shape<int=2>, int=1)",2,"dram_read_transactions","Device Memory Read Transactions",47,84,65
"TITAN Xp (0)","void mshadow::cuda::MapPlanKernel<mshadow::sv::saveto, int=8, mshadow::expr::Plan<mshadow::Tensor<mshadow::gpu, int=1, int>, int>, mshadow::expr::Plan<mshadow::expr::RangeExp<int>, int>>(mshadow::gpu, unsigned int, mshadow::Shape<int=2>, int=1)",2,"dram_write_transactions","Device Memory Write Transactions",0,12,6
"TITAN Xp (0)","_ZN5mxnet2op8mxnet_op20mxnet_generic_kernelINS1_11op_with_reqINS0_10mshadow_op8identityELi1EEEJPfS7_EEEviDpT0_",19,"dram_read_transactions","Device Memory Read Transactions",181,754216,110888
"TITAN Xp (0)","_ZN5mxnet2op8mxnet_op20mxnet_generic_kernelINS1_11op_with_reqINS0_10mshadow_op8identityELi1EEEJPfS7_EEEviDpT0_",19,"dram_write_transactions","Device Memory Write Transactions",0,741732,102235
"TITAN Xp (0)","void mxnet::op::broadcast::binary_broadcast_kernel<int=2, float, mshadow::op::minus, int=2>(int, bool, float const *, float const , mxnet::op::broadcast::binary_broadcast_kernel<int=2, float, mshadow::op::minus, int=2>*, mshadow::Shape<int=2>, mshadow::Shape, mshadow::Shape)",36,"dram_read_transactions","Device Memory Read Transactions",0,11165,1450
"TITAN Xp (0)","void mxnet::op::broadcast::binary_broadcast_kernel<int=2, float, mshadow::op::minus, int=2>(int, bool, float const *, float const , mxnet::op::broadcast::binary_broadcast_kernel<int=2, float, mshadow::op::minus, int=2>*, mshadow::Shape<int=2>, mshadow::Shape, mshadow::Shape)",36,"dram_write_transactions","Device Memory Write Transactions",4,4616,1467
"TITAN Xp (0)","void mshadow::cuda::MapPlanKernel<mshadow::sv::saveto, int=8, mshadow::expr::Plan<mshadow::Tensor<mshadow::gpu, int=2, float>, float>, mshadow::expr::Plan<mshadow::expr::ScalarExp<float>, float>>(mshadow::gpu, unsigned int, mshadow::Shape<int=2>, int=2)",2,"dram_read_transactions","Device Memory Read Transactions",131,399,265
"TITAN Xp (0)","void mshadow::cuda::MapPlanKernel<mshadow::sv::saveto, int=8, mshadow::expr::Plan<mshadow::Tensor<mshadow::gpu, int=2, float>, float>, mshadow::expr::Plan<mshadow::expr::ScalarExp<float>, float>>(mshadow::gpu, unsigned int, mshadow::Shape<int=2>, int=2)",2,"dram_write_transactions","Device Memory Write Transactions",481042,1073761,777401
"TITAN Xp (0)","_ZN5mxnet2op8mxnet_op20mxnet_generic_kernelINS1_11op_with_reqINS0_9unary_bwdINS0_10mshadow_op11square_gradEEELi1EEEJPfS9_S9_EEEviDpT0_",18,"dram_read_transactions","Device Memory Read Transactions",10032,20111,10799
"TITAN Xp (0)","_ZN5mxnet2op8mxnet_op20mxnet_generic_kernelINS1_11op_with_reqINS0_9unary_bwdINS0_10mshadow_op11square_gradEEELi1EEEJPfS9_S9_EEEviDpT0_",18,"dram_write_transactions","Device Memory Write Transactions",4,4044,629
"TITAN Xp (0)","void mshadow::cuda::MapRedKeepLowestKernel<mshadow::sv::plusto, mshadow::red::sum, int=5, float, mshadow::expr::Plan<mshadow::Tensor<mshadow::gpu, int=1, float>, float>, mshadow::expr::Plan<mshadow::Tensor<mshadow::gpu, int=2, float>, float>>(mshadow::gpu, int=1, float, mshadow::Shape<int=2>)",127,"dram_read_transactions","Device Memory Read Transactions",7284,49720,23414
"TITAN Xp (0)","void mshadow::cuda::MapRedKeepLowestKernel<mshadow::sv::plusto, mshadow::red::sum, int=5, float, mshadow::expr::Plan<mshadow::Tensor<mshadow::gpu, int=1, float>, float>, mshadow::expr::Plan<mshadow::Tensor<mshadow::gpu, int=2, float>, float>>(mshadow::gpu, int=1, float, mshadow::Shape<int=2>)",127,"dram_write_transactions","Device Memory Write Transactions",6666,50914,38823
"TITAN Xp (0)","_ZN5mxnet2op8mxnet_op20mxnet_generic_kernelINS1_11op_with_reqIN7mshadow2op3mulELi1EEEJPfS8_S8_EEEviDpT0_",1,"dram_read_transactions","Device Memory Read Transactions",312,312,312
"TITAN Xp (0)","_ZN5mxnet2op8mxnet_op20mxnet_generic_kernelINS1_11op_with_reqIN7mshadow2op3mulELi1EEEJPfS8_S8_EEEviDpT0_",1,"dram_write_transactions","Device Memory Write Transactions",0,0,0
"TITAN Xp (0)","void mshadow::cuda::MapPlanKernel<mshadow::sv::saveto, int=8, mshadow::expr::Plan<mshadow::Tensor<mshadow::gpu, int=2, float>, float>, mshadow::expr::Plan<mshadow::expr::BinaryMapExp<mshadow::op::minus, mshadow::Tensor<mshadow::gpu, int=2, float>, mshadow::expr::BinaryMapExp<mshadow::op::div, mshadow::expr::BinaryMapExp<mshadow::op::mul, mshadow::expr::ScalarExp<float>, mshadow::Tensor<mshadow::gpu, int=2, float>, float, int=1>, mshadow::expr::BinaryMapExp<mshadow::op::plus, mshadow::expr::UnaryMapExp<mxnet::op::mshadow_op::square_root, mshadow::Tensor<mshadow::gpu, int=2, float>, float, int=1>, mshadow::expr::ScalarExp<float>, float, int=1>, float, int=1>, float, int=1>, float>>(mshadow::gpu, unsigned int, mshadow::Shape<int=2>, int=2)",6,"dram_read_transactions","Device Memory Read Transactions",144,3248589,1169858
"TITAN Xp (0)","void mshadow::cuda::MapPlanKernel<mshadow::sv::saveto, int=8, mshadow::expr::Plan<mshadow::Tensor<mshadow::gpu, int=2, float>, float>, mshadow::expr::Plan<mshadow::expr::BinaryMapExp<mshadow::op::minus, mshadow::Tensor<mshadow::gpu, int=2, float>, mshadow::expr::BinaryMapExp<mshadow::op::div, mshadow::expr::BinaryMapExp<mshadow::op::mul, mshadow::expr::ScalarExp<float>, mshadow::Tensor<mshadow::gpu, int=2, float>, float, int=1>, mshadow::expr::BinaryMapExp<mshadow::op::plus, mshadow::expr::UnaryMapExp<mxnet::op::mshadow_op::square_root, mshadow::Tensor<mshadow::gpu, int=2, float>, float, int=1>, mshadow::expr::ScalarExp<float>, float, int=1>, float, int=1>, float, int=1>, float>>(mshadow::gpu, unsigned int, mshadow::Shape<int=2>, int=2)",6,"dram_write_transactions","Device Memory Write Transactions",44,1083000,391677
"TITAN Xp (0)","void mxnet::op::broadcast::reduce_kernel<mshadow::red::sum, int=2, float, mxnet::op::mshadow_op::negation, int=2>(int, int, bool, float const *, mxnet::op::broadcast::reduce_kernel<mshadow::red::sum, int=2, float, mxnet::op::mshadow_op::negation, int=2>*, mshadow::Shape<int=2>, mshadow::Shape, mshadow::Shape, mshadow::Shape, int, bool)",36,"dram_read_transactions","Device Memory Read Transactions",0,11276,925
"TITAN Xp (0)","void mxnet::op::broadcast::reduce_kernel<mshadow::red::sum, int=2, float, mxnet::op::mshadow_op::negation, int=2>(int, int, bool, float const *, mxnet::op::broadcast::reduce_kernel<mshadow::red::sum, int=2, float, mxnet::op::mshadow_op::negation, int=2>*, mshadow::Shape<int=2>, mshadow::Shape, mshadow::Shape, mshadow::Shape, int, bool)",36,"dram_write_transactions","Device Memory Write Transactions",100,10296,2284
"TITAN Xp (0)","void mxnet::op::broadcast::reduce_kernel_M1<mshadow::red::sum, int=2, float, mshadow::op::mul, mxnet::op::mshadow_op::right>(int, bool, float const *, float const , float const , mxnet::op::broadcast::reduce_kernel_M1<mshadow::red::sum, int=2, float, mshadow::op::mul, mxnet::op::mshadow_op::right>*, mshadow::Shape<int=2>, mshadow::Shape, mshadow::Shape, mshadow::Shape)",36,"dram_read_transactions","Device Memory Read Transactions",10,12654,557
"TITAN Xp (0)","void mxnet::op::broadcast::reduce_kernel_M1<mshadow::red::sum, int=2, float, mshadow::op::mul, mxnet::op::mshadow_op::right>(int, bool, float const *, float const , float const , mxnet::op::broadcast::reduce_kernel_M1<mshadow::red::sum, int=2, float, mshadow::op::mul, mxnet::op::mshadow_op::right>*, mshadow::Shape<int=2>, mshadow::Shape, mshadow::Shape, mshadow::Shape)",36,"dram_write_transactions","Device Memory Write Transactions",21,6984,2146
